Artifact,Artifact Id,Current Artifactclass,New Artifactclass
Q517,27053,video-digi-2020-priv1,video-digi-2020-edit-priv1
Q518,27054,video-digi-2020-priv1,video-digi-2020-edit-priv1
X2,25280,video-digi-2020-priv2,video-digi-2020-priv1
X3,25270,video-digi-2020-priv2,video-digi-2020-priv1



GR10,27654,video-digi-2020-edit-pub,video-digi-2020-pub
GR11,27661,video-digi-2020-edit-pub,video-digi-2020-pub
GR13,27657,video-digi-2020-edit-pub,video-digi-2020-pub
GR14,27656,video-digi-2020-edit-pub,video-digi-2020-pub
GR15,27643,video-digi-2020-edit-pub,video-digi-2020-pub
GR16,27652,video-digi-2020-edit-pub,video-digi-2020-pub
GR17,27642,video-digi-2020-edit-pub,video-digi-2020-pub
GR18,27641,video-digi-2020-edit-pub,video-digi-2020-pub
GR19,27645,video-digi-2020-edit-pub,video-digi-2020-pub
GR20,27662,video-digi-2020-edit-pub,video-digi-2020-pub
GR21,27649,video-digi-2020-edit-pub,video-digi-2020-pub
GR22,27650,video-digi-2020-edit-pub,video-digi-2020-pub
GR23,27634,video-digi-2020-edit-pub,video-digi-2020-pub
GR24,27637,video-digi-2020-edit-pub,video-digi-2020-pub
GR25,27640,video-digi-2020-edit-pub,video-digi-2020-pub
GR26,27635,video-digi-2020-edit-pub,video-digi-2020-pub
GR28,27636,video-digi-2020-edit-pub,video-digi-2020-pub
GR29,27647,video-digi-2020-edit-pub,video-digi-2020-pub
GR30,27638,video-digi-2020-edit-pub,video-digi-2020-pub
GR31,27655,video-digi-2020-edit-pub,video-digi-2020-pub
GR32,27664,video-digi-2020-edit-pub,video-digi-2020-pub
GR33,27644,video-digi-2020-edit-pub,video-digi-2020-pub
GR34,27663,video-digi-2020-edit-pub,video-digi-2020-pub
GR35,27658,video-digi-2020-edit-pub,video-digi-2020-pub
GR36,27639,video-digi-2020-edit-pub,video-digi-2020-pub
GR37,27660,video-digi-2020-edit-pub,video-digi-2020-pub
GR39,27713,video-digi-2020-edit-pub,video-digi-2020-pub
GR40,27659,video-digi-2020-edit-pub,video-digi-2020-pub
GR41,29193,video-digi-2020-edit-pub,video-digi-2020-pub
GR42,27936,video-digi-2020-edit-pub,video-digi-2020-pub
GR44,27941,video-digi-2020-edit-pub,video-digi-2020-pub
GR45,28206,video-digi-2020-edit-pub,video-digi-2020-pub
GR46,27937,video-digi-2020-edit-pub,video-digi-2020-pub
GR47,27934,video-digi-2020-edit-pub,video-digi-2020-pub
GR48,27939,video-digi-2020-edit-pub,video-digi-2020-pub
GR49,28334,video-digi-2020-edit-pub,video-digi-2020-pub
GR50,27928,video-digi-2020-edit-pub,video-digi-2020-pub
GR53,27927,video-digi-2020-edit-pub,video-digi-2020-pub
GR54,27931,video-digi-2020-edit-pub,video-digi-2020-pub
GR55,27945,video-digi-2020-edit-pub,video-digi-2020-pub
GR56,27942,video-digi-2020-edit-pub,video-digi-2020-pub
GR57,27933,video-digi-2020-edit-pub,video-digi-2020-pub
GR58,27925,video-digi-2020-edit-pub,video-digi-2020-pub
GR59,28362,video-digi-2020-edit-pub,video-digi-2020-pub
GR60,28907,video-digi-2020-edit-pub,video-digi-2020-pub
GR61,27943,video-digi-2020-edit-pub,video-digi-2020-pub
GR62,27944,video-digi-2020-edit-pub,video-digi-2020-pub
GR63,27938,video-digi-2020-edit-pub,video-digi-2020-pub
GR66,27930,video-digi-2020-edit-pub,video-digi-2020-pub
GR67,27935,video-digi-2020-edit-pub,video-digi-2020-pub
GR68,27929,video-digi-2020-edit-pub,video-digi-2020-pub
GR69,27932,video-digi-2020-edit-pub,video-digi-2020-pub
GR7,27648,video-digi-2020-edit-pub,video-digi-2020-pub
GR70,28316,video-digi-2020-edit-pub,video-digi-2020-pub
GR71,28317,video-digi-2020-edit-pub,video-digi-2020-pub
GR72,28315,video-digi-2020-edit-pub,video-digi-2020-pub
GR8,29195,video-digi-2020-edit-pub,video-digi-2020-pub
X1,27940,video-digi-2020-edit-pub,video-digi-2020-pub,X1_COPY
X10,25717,video-digi-2020-edit-pub,video-digi-2020-pub
X11,25811,video-digi-2020-edit-pub,video-digi-2020-pub
X12,25839,video-digi-2020-edit-pub,video-digi-2020-pub
X13,25828,video-digi-2020-edit-pub,video-digi-2020-pub
X16,25809,video-digi-2020-edit-pub,video-digi-2020-pub
X17,25821,video-digi-2020-edit-pub,video-digi-2020-pub
X18,25824,video-digi-2020-edit-pub,video-digi-2020-pub
X19,25823,video-digi-2020-edit-pub,video-digi-2020-pub
X20,25884,video-digi-2020-edit-priv1,video-digi-2020-priv1
X21,25888,video-digi-2020-edit-priv1,video-digi-2020-priv1
X22,25889,video-digi-2020-edit-priv1,video-digi-2020-priv1
X23,25886,video-digi-2020-edit-priv1,video-digi-2020-priv1
X24,25887,video-digi-2020-edit-priv1,video-digi-2020-priv1
X25,25885,video-digi-2020-edit-pub,video-digi-2020-pub
X26,26199,video-digi-2020-edit-pub,video-digi-2020-pub
X27,26200,video-digi-2020-edit-pub,video-digi-2020-pub
X28,26198,video-digi-2020-edit-priv2,video-digi-2020-priv2
X4,27926,video-digi-2020-edit-pub,video-digi-2020-pub,X4_COPY
X5,25716,video-digi-2020-edit-pub,video-digi-2020-pub
X6,25719,video-digi-2020-edit-pub,video-digi-2020-pub
X7,25718,video-digi-2020-edit-priv1,video-digi-2020-priv1
X8,25715,video-digi-2020-edit-pub,video-digi-2020-pub
X9,25720,video-digi-2020-edit-pub,video-digi-2020-pub